Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
06/07/2004 00:40,sault ste. marie,mi,,light,60,30 seconds to 1 minute,It was a large light&#44 bigger than any other in the sky&#44 going from SW to NE at a fast speed zig zaging here and occured at 12:40 AM on,6/18/2004,46.521858,-84.34609
01/05/2004 16:00,prince george (canada),bc,ca,light,120,approx: 2 minutes,HBCCUFO CANADIAN REPORT:  Something that may have been making the colored contrail.,3/17/2004,53.916667,-122.766667
11/26/2011 17:05,jerseyville,il,us,fireball,120,2 mins,Red fireball crashing into a field,12/12/2011,39.12,-90.3283333
11/08/2002 02:00,homer glenn,il,,other,10,about 10 seconds,Speedy object preceeding by a low murmur flies overhead at night with flashing lights&#44,11/09/2002,41.600032,-87.938111
9/20/2000 19:00,mississauga (canada),on,ca,fireball,2700.0,45minutes,My family and I where driving in the car down the road and i was looking at an airplane go by and then to the left i saw 2 big red fire,12/02/2000,43.15,-79.5
11/15/1998 19:50,newborough (vic&#44 australia),,,oval,60,half and hour,Hovering over mountain about 10kms away from our house. Started as 2 Big glowing balls of Red the changed to 5 little red glowing balls,08/10/1999,53.164868,-4.359065
8/29/2012 21:00,philadelphia,pa,us,circle,90.0,1.5 minutes,Orange sphear seen by myself and my wife over south philadelphia.,9/24/2012,39.9522222,-75.1641667
9/15/2000 21:13,laurel,md,us,circle,30.0,30 seconds,Bright light suddenly shrinking to small and going out.,9/21/2000,39.0991667,-76.8486111
12/07/2012 23:00,connersville,in,us,cylinder,1740,29 minutes,December 7&#44 2012 Cylinder shaped&#44 transparent object appeared&#44 hazy gray color slow/fast movement.,8/30/2013,39.6411111,-85.1411111
8/14/2011 11:51,blacksburg,va,us,other,120.0,2 minutes,Satellite like object too bright and not blinking (not a craft),8/21/2011,37.2294444,-80.4141667
1/20/2008 02:00,clarksville,tx,us,rectangle,1200,20 minutes,Two large Rectangular oblects with multicolored lights all around and one had a large red beam that either was transferring something o,1/21/2008,33.6105556,-95.0525
05/12/2001 12:00,miami,fl,us,disk,18000,5 hrs.,I saw 6 bright lights in the sky ( that were&#39nt airplanes. I can tell you that ),04/08/2002,25.7738889,-80.1938889
10/29/2005 18:51,seattle (boeing field),wa,us,other,5,5 sec.,Twin-engine jet fighter seen to STREAK west to east over Boeing Field in IFR conditions.,11/03/2005,47.6063889,-122.3308333
12/21/2005 05:50,dublin,va,us,unknown,300,5 mins.,Anomalous light seen above well traveled highway in early morning hours,2/14/2006,37.1055556,-80.6855556
6/20/2006 07:40,southampton (canada),on,ca,,8,5-8 sec,White glowing daytime sighting&#44 object moving through clouds just above horizon.,7/16/2006,44.5,-81.366667
4/15/2013 22:00,greenwood (canada),ns,ca,sphere,1800,30 minutes,Tri-coloured flashing light circular object&#44 staionary in the sky colours were red&#44 blue and white.  ((NUFORC Note:  Star??  PD)),5/15/2013,44.983333,-64.9
3/20/2012 22:45,northcliff (johannesburg) (south africa),,,disk,1200,20min,Multiple U.F.O Sighting Northcliff&#44 Johannesburg&#44 South Africa 10:45pm 21/03/2012,5/13/2012,-26.147899,27.962975
01/01/2000 21:00,patoka,il,us,triangle,300,5 minutes,Triangular shaped object flying very low to the ground over my parents yard in rural Illinois.,06/12/2008,38.7552778,-89.0952778
6/15/1957 13:00,hartford city,in,us,disk,300,5 minutes,flying sausers are as real as real gets,6/20/2005,40.4511111,-85.37
05/05/1979 16:00,marlboro,nj,us,circle,4,4 seconds,Over 20 years ago I saw a bight yellow ball flash in Marlboro&#44 NJ and then disappear.,2/14/2006,40.3152778,-74.2466667
11/11/2012 07:00,jefferson,ga,us,fireball,60,~1 minute,Fireball that vaporized?,11/20/2013,34.1169444,-83.5725
3/25/2001 03:50,black canyon (n. of&#44 on i-17,az,,unknown,3,1-3 seconds,A hi-speed ball of light passing E. to W. N. of Black Canyon City.,4/28/2001,34.428671,-112.036163
5/20/2010 11:00,south kingstown,ri,,chevron,300,5 minutes,Odd chemtrail and jet formation over souther Rhode Island,06/03/2010,41.447569,-71.524667
07/04/2005 21:00,el cajon,ca,us,light,1500,20-25 mins,Red Object West of San Diego&#44 CA,07/05/2005,32.7947222,-116.9616667
